row_index,name,value_chain_position,semiconductor_relevance,capabilities,end_markets,india_angle,summary,technical_expertise,status,inferred_field_count,model
98,ChipIN Centre,Other,Low,,,C-DAC is a government R&D institution in India focused on advanced computing and IT solutions.,"C-DAC is primarily a research and development institution under the Indian government's Ministry of Electronics & Information Technology. While it engages in various IT and computing projects, its direct involvement in the semiconductor value chain is limited.",,ok,0,gpt-4o
99,Chipspirit Technologies Pvt Ltd,Design Services,High,ASIC design services | Hardware security solutions | Front end verification,Automotive | Secure Communication,Chipspirit Technologies is based in India and actively participates in local industry events such as AERO India.,"Chipspirit Technologies Pvt Ltd specializes in ASIC design services and hardware security solutions, focusing on design and turnkey projects. They offer customizable hardware-based security solutions with zero software intervention, ensuring high security against malware attacks.",VLSI design circuits | Hardware-based encryption,ok,0,gpt-4o
100,Chukoh Chemical Industries Limited,Other,,,,,,,empty-input,0,gpt-4o
101,Cir-Q-Tech Tako Technologies Pvt. Ltd.,Facility & Infrastructure,Medium,ESD Control Products | ESD Audits and Training | Ionization Equipment,Automotive | Aerospace | Telecom,"Cir-Q-Tech Tako Technologies Pvt Ltd has a manufacturing facility in Bidadi, Ramanagara, and offices in major Indian cities including Bangalore, Chennai, New Delhi, Hyderabad, and Pune.","Cir-Q-Tech Tako Technologies Pvt Ltd specializes in providing Electro Static Discharge (ESD) control solutions, including products and services such as ESD flooring, workstations, and ionization equipment. They offer comprehensive ESD audits, training, and certification, catering to industries like automotive, aerospace, and telecom, with a significant presence in India.",Electrostatic Discharge Control | Ionization Systems,ok,0,gpt-4o
102,circuitEvolve,EDA/IP,High,AI-powered analog circuit design platform | Closed-loop EDA verification | PPA-benchmarked hardware architecture reconstruction,Analog Design | EDA Tools,,"circuitEvolve specializes in AI-driven electronic design automation (EDA) tools, focusing on accelerating analog circuit design. Their platform optimizes circuit parameters through simulation, significantly reducing design time and improving efficiency in analog tapeouts.",Analog circuit design optimization | EDA verification | PPA benchmarking,ok,0,gpt-4o
103,CKD Corporation,Equipment,Medium,Pick & Place Equipment | Valves for Process Equipment | Gas Handling Equipment,Automotive | Advanced Packaging,,"CKD Corporation specializes in automation and fluid control technologies, providing equipment such as pick & place machines and valves for semiconductor manufacturing processes. Their products support various stages of semiconductor production, particularly in automation and gas handling.",Fluid Control Technologies | Automation Systems,ok,0,gpt-4o
104,Clariant,Chemicals & Gases,Medium,Desiccants for moisture-sensitive devices | Humidity indicator cards compliant with JEDEC standards | Dry packing solutions for semiconductors,Advanced Packaging | Surface Mount Devices,"Clariant is actively participating in SEMICON India 2025, showcasing solutions for moisture-sensitive devices.","Clariant provides essential moisture protection solutions for the semiconductor industry, including desiccants and humidity indicators that comply with JEDEC standards. Their products are crucial for the safe transport and storage of moisture-sensitive semiconductor devices.",Moisture control technologies | Humidity indication and adsorption,ok,0,gpt-4o
105,CleanTech Services India Pvt Ltd,Chemicals & Gases,High,Gas delivery systems | Chemical delivery systems | Ultra-high purity products,Semiconductor | Photovoltaic,CleanTech Services India Pvt Ltd is a leading provider of gas and chemical engineering solutions specifically for the semiconductor and high-tech manufacturing industries in India.,"CleanTech Services India Pvt Ltd specializes in providing gas and chemical engineering solutions, including gas delivery and chemical delivery systems, for the semiconductor industry. Their focus on ultra-high purity products and facility hook-up services ensures safety and operational excellence for semiconductor manufacturing processes.",Ultra-high purity systems | Gas purification systems | Total gas and chemical management,ok,0,gpt-4o
106,CN Water Systems Private Limited,Facility & Infrastructure,Low,Water management systems | Cold purification systems,,The company manages water systems across India.,"CN Water Systems Private Limited provides advanced water management solutions, focusing on optimizing resource usage and reducing energy consumption. Their offerings include cold purification systems and data-driven solutions aimed at improving operational efficiency and sustainability.",Water purification technology | Resource optimization,ok,0,gpt-4o
107,CNW- Courier Network,Other,Low,Expedited shipping services | Real-time shipment tracking | Emergency logistics solutions,Automotive | Manufacturing,,"CNW - Courier Network provides expedited shipment services and international courier solutions, specializing in emergency logistics for business-to-business shipments. They leverage technology to ensure timely delivery, even under challenging conditions, making them a reliable partner for urgent shipments in various industries.",,ok,0,gpt-4o
108,Cohizon Life Sciences,Chemicals & Gases,Low,Speciality chemicals | Contract manufacturing,,"Cohizon Life Sciences has a manufacturing presence in Ankleshwar, Gujarat.","Cohizon Life Sciences is a chemical manufacturing company based in India, focusing on speciality chemicals and contract manufacturing. While they are a significant player in the chemical industry, their direct involvement in the semiconductor value chain appears limited.",,ok,0,gpt-4o
109,"CoreTech System (Moldex3D) Co., Ltd.",EDA/IP,Medium,Plastic injection molding simulation | Simulation-driven design optimization,Advanced Packaging | Automotive,,"CoreTech System (Moldex3D) Co., Ltd. provides advanced simulation software for plastic injection molding processes, which is crucial for optimizing the design and manufacturability of semiconductor packaging components. Their Moldex3D software integrates with CAD systems to offer a flexible platform for design optimization in semiconductor-related applications.",Plastic injection molding simulation | Design optimization for manufacturability,ok,0,gpt-4o
110,COVERIFY SYSTEMS TECHNOLOGY LLP,EDA/IP,High,RISC-V Processor Design Verification | HW-Assisted Verification | Algorithmic Design Verification,Logic | AI | DSP | GPU,,"Coverify Systems Technology LLP specializes in advanced design verification solutions for semiconductor components, focusing on RISC-V processors and complex AI, DSP, and GPU cores. Their offerings include HW-assisted verification and algorithmic design verification, providing significant speed and efficiency improvements over traditional methods.",RISC-V processor architecture | Hardware-assisted verification | Algorithmic design verification,ok,0,gpt-4o
111,CraftifAI,Design Services,Medium,embedded firmware development | FPGA design | perception pipelines for intelligent systems,Automotive | Edge AI,,"CraftifAI specializes in developing and deploying AI-driven solutions for the physical world, focusing on embedded firmware, FPGA designs, and perception pipelines. Their offerings are particularly relevant for applications in edge AI and automotive sectors, providing design services that integrate AI capabilities into semiconductor products.",embedded AI | FPGA design | firmware automation,ok,0,gpt-4o
112,Cryogenic Specialty Manufacturing Sdn. Bhd.,Facility & Infrastructure,High,Cryogenic systems for wafer fabrication | Super-insulated vacuum jacketed pipes | Liquid nitrogen solutions for semiconductor tools,Advanced Packaging | Test & Measurement,,"Cryogenic Specialty Manufacturing Sdn. Bhd. designs and manufactures precision cryogenic systems and components tailored for the semiconductor industry. Their solutions address extreme thermal challenges in wafer fabrication, advanced assembly, packaging, and device testing, enabling chipmakers to enhance device performance and miniaturization.",Cryogenic system engineering | Super insulation technology,ok,0,gpt-4o
113,Crystal Matrix Limited,Fab/Foundry,High,GaN epitaxy wafer manufacturing | Mini/Micro-LED display panel production,Advanced Display | Lighting,Crystal Matrix Ltd is establishing India's first GaN Fab and MicroLED ecosystem under the India Semiconductor Mission at Dholera Special Investment Region.,"Crystal Matrix Limited is building a state-of-the-art compound semiconductor fab in India to manufacture GaN epitaxy wafers and Mini/Micro-LED display panels. This initiative positions the company as a key player in advanced display and semiconductor technologies, contributing to India's strategic semiconductor mission.",GaN epitaxy | Micro-LED technology,ok,0,gpt-4o
114,Cubetor India Private Limited.,Facility & Infrastructure,Medium,Clean Rooms | HVAC Systems | Turnkey Projects,Electronics & semiconductors | NanoTechnology,"Cubetor India Private Limited is based in India and offers its services, including cleanroom and HVAC solutions, to various industries including semiconductors.","Cubetor India Private Limited specializes in designing and building cleanrooms and HVAC systems, which are critical for maintaining controlled environments in semiconductor manufacturing facilities. They provide turnkey project solutions, ensuring fully integrated and compliant facilities for the semiconductor industry.",Cleanroom technology | HVAC systems for controlled environments,ok,0,gpt-4o
115,Cyient Semiconductors Pvt Ltd,Design Services,High,Custom ASIC design | Analog Mixed Signal Design | Post Silicon Validation,AI | 5G | Automotive | Healthcare,"Cyient has execution hubs across India, providing local presence and leveraging India's engineering talent for semiconductor design and development.","Cyient Semiconductors specializes in providing semiconductor design services and turnkey ASIC solutions, covering the entire process from concept to silicon. They focus on optimizing performance, power efficiency, and reliability for various industries, including AI, 5G, automotive, and healthcare.",System Architecture & Design | Digital Design and Verification | ATE Test Program Development and Testing,ok,0,gpt-4o
116,"DAIFUKU CO, LTD.",Facility & Infrastructure,High,Automated Material Handling Systems (AMHS) | Overhead Hoist Transport (OHT) | Material Handling Control System (MCS),Logic | Memory | Advanced Packaging,Daifuku in India focuses on intralogistics and material handling solutions.,"Daifuku Co., Ltd. is a leading provider of automated material handling systems, specializing in solutions for semiconductor manufacturing cleanrooms. Their products, such as AMHS and OHT systems, are integral to cleanroom automation, ensuring efficient and reliable transport of semiconductor wafers and carriers.",cleanroom automation | non-contact power supply systems | nitrogen purging technology,ok,0,gpt-4o
117,DAIICHI JITSUGYO INDIA PVT. LTD.,Other,Low,,,,"Daiichi Jitsugyo India Pvt. Ltd. is a company that provides advanced industrial machinery and solutions across various industries. Their focus is on delivering tailored strategies to enhance productivity and quality, with a commitment to innovation and long-term partnerships.",,ok,0,gpt-4o
118,DAIKIN CHEMICAL INDIA PRIVATED LTD.,Chemicals & Gases,Medium,fluorocarbon resins | semiconductor etching agents | fluoropolymer PTFE anti-dripping additives,Advanced Packaging | Electronics,,"Daikin Chemical India Private Ltd. is involved in the production and supply of specialized fluorochemical products used in semiconductor manufacturing. Their offerings include fluorocarbon resins and semiconductor etching agents, which are critical for advanced packaging and electronics applications. They also provide fluoropolymer PTFE additives that enhance flame retardancy in electronic equipment.",fluorochemistry | polymer processing,ok,0,gpt-4o
119,Daksh Instruments Pvt Ltd,Test & Measurement,Medium,Non Contact Measuring Equipments | Ultrasonic Equipments | Image Analysis Software,Automotive | Advanced Packaging,"Daksh Instruments Pvt Ltd is based in Indore, India, and has been participating in national and international exhibitions, indicating a strong local presence.","Daksh Instruments Pvt Ltd specializes in the manufacturing and export of testing and quality checking instruments, including non-contact measuring and ultrasonic equipment. Their products are relevant for semiconductor manufacturing, particularly in quality assurance and measurement processes.",Image Analysis | Ultrasonic Measurement,ok,0,gpt-4o
120,Danfoss Industries Pvt. Ltd.,Other,Low,,,,"Danfoss Industries Pvt. Ltd. focuses on engineering solutions that enhance machine productivity, reduce emissions, lower energy consumption, and enable electrification. While they have a broad industrial focus, their direct involvement in the semiconductor value chain appears limited based on available information.",,ok,0,gpt-4o
121,Dassault Systèmes,EDA/IP,Medium,3D modeling and simulation applications | Virtual twin technology,Automotive | Advanced Packaging,,"Dassault Systèmes provides 3D modeling and simulation applications through its 3DEXPERIENCE platform, which includes virtual twin technology to enhance product design and manufacturing processes. Their solutions are applicable across various industries, including automotive and advanced packaging, supporting innovation and efficiency improvements.",3D modeling | Simulation applications | Virtual twin technology,ok,0,gpt-4o
122,DCAS Technologies,Other,,,,,,,empty-input,0,gpt-4o
123,DDE ULTRA HIGH PURITY PRIVATE LIMITED,Facility & Infrastructure,High,Ultra-high purity gas and chemical delivery systems | Turnkey UHP solutions for semiconductor fabs | High-purity piping and tubing installation,Advanced Packaging | PV Solar | Nanotechnology,"DDE ULTRA leverages its deep knowledge of India's regulatory, sourcing, and execution landscape to reduce project risks and delays.","DDE ULTRA HIGH PURITY PRIVATE LIMITED specializes in designing, manufacturing, and installing ultra-high purity gas and chemical delivery systems for semiconductor manufacturing. They offer turnkey solutions that ensure zero-contamination environments and precision utility hook-ups, crucial for high-volume packaging and testing in semiconductor fabs. Their expertise extends to high-purity piping, electrical installations, and network controls, making them a key player in facility and infrastructure development for the semiconductor industry.","Ultra-high purity systems | Orbital welding | PLC, SCADA, and DCS integration",ok,0,gpt-4o
124,DeepLase Technologies,Other,,,,,,,empty-input,0,gpt-4o
125,Deerns Spectrum Private Limited,Facility & Infrastructure,Low,Technical consulting | Engineering solutions for high performance buildings,,,"Deerns Spectrum Private Limited provides technical consulting and engineering solutions focused on optimizing high-performance buildings. While their services are crucial for facility and infrastructure development, their direct involvement in semiconductor manufacturing or design is limited.",,ok,0,gpt-4o
126,Delta Electronics India Pvt Ltd,Other,,,,,,,empty-input,0,gpt-4o
127,"Department of Industries, Govt. of Bihar",Other,,,,,,,empty-input,0,gpt-4o
128,DHL Supply Chain India,Other,,,,,,,empty-input,0,gpt-4o
129,Dhruv Compusoft consultancy pvt ltd,Other,Low,Manufacturing execution systems | Automation systems integration,Advanced Packaging | Electronics,,"Dhruv Compusoft consultancy provides digital transformation services with a focus on manufacturing execution and automation systems integration, including for semiconductor manufacturing environments. They offer tailored solutions for the electronics industry, enhancing operational efficiency and process integration.",Manufacturing execution systems | Automation systems,ok,0,gpt-4o
130,Disco Hi-Tec (Singapore) Pte Ltd.,Equipment,High,DBG systems for thin wafers | Fully Automatic Grinder/Polisher for ultra thin wafers | Stealth Dicing laser saw for dry dicing process,Advanced Packaging | Logic | Memory,,"Disco Hi-Tec (Singapore) Pte Ltd. is a leading provider of precision machinery and diamond products for the semiconductor industry, specializing in cutting, grinding, and polishing technologies. They offer advanced solutions such as DBG systems, fully automatic grinders/polishers, and stealth dicing laser saws, catering to the needs of thin wafer processing and advanced packaging.",Dicing technology | Grinding and polishing technology | Laser grooving solutions,ok,0,gpt-4o
131,Dixon Technologies (India) Limited,Other,Low,Electronics manufacturing services | OEM partner for consumer electronics,Consumer Electronics | Lighting | Telecom,"Dixon Technologies is expanding its manufacturing footprint in India with a new facility in Oragadam, Tamil Nadu, and has partnerships with companies like HP India for manufacturing PCs.","Dixon Technologies is a leading electronics manufacturing services provider in India, offering design and manufacturing solutions for consumer electronics, lighting, and telecom sectors. While primarily focused on EMS, the company is expanding into PC manufacturing through strategic partnerships.",,ok,0,gpt-4o
132,Dockweiler India Pvt Ltd,Facility & Infrastructure,High,High-purity stainless steel tubes and fittings | Electropolished inner surfaces | COAX double-wall tube system,Microelectronics | Semiconductor manufacturing,"Dockweiler India Pvt Ltd is actively participating in SEMICON INDIA 2026, indicating a strategic focus on the Indian semiconductor market.","Dockweiler India Pvt Ltd specializes in providing high-purity stainless steel tubes and fittings for semiconductor manufacturing facilities. Their products are essential for ensuring the purity and safety of liquid and gaseous media transport in semiconductor fabs, with capabilities including electropolished surfaces and double-wall tube systems for enhanced reliability.",Electropolishing | Clean room production | Helium leak testing,ok,0,gpt-4o
133,Dou Yee Enterprises (S) Pte Ltd,Other,Medium,Electrostatic Discharge Control | Micro Contamination Control | Dry Packaging/Electronic Packaging Materials,Logic | Memory | Advanced Packaging,,"Dou Yee Enterprises provides a range of industrial solutions including electrostatic discharge control, micro contamination control, and packaging materials for the semiconductor industry. Their global presence and manufacturing capabilities support various segments within the semiconductor value chain, particularly in packaging and contamination control.",Electrostatic Discharge Control | Micro Contamination Control,ok,0,gpt-4o
134,DTECH PRODUCTS PVT LTD,Other,,,,,,,empty-input,0,gpt-4o
135,Durga Mechatronics Pvt. Ltd.,Distribution,Low,Bearings | Control Panels | VFD & Heat Exchangers,Automotive | Industrial Automation,Durga Mechatronics has a significant presence in India with an integrated logistics centre in Mumbai and operations across 15+ industrial towns and cities.,"Durga Mechatronics Pvt. Ltd. is a distributor of industrial power transmission products, including bearings, control panels, and VFDs, primarily serving the manufacturing industry in India. While their offerings include components that could be used in semiconductor manufacturing equipment, their core focus is on broader industrial applications.",Industrial Automation | Process Control,ok,0,gpt-4o
136,DYNA Filters Private Limited,Facility & Infrastructure,Medium -- the company provides cleanroom solutions which are crucial for semiconductor fabrication environments,Turnkey cleanroom project execution | Manufacturing of HEPA/ULPA filters | Cleanroom equipment like Laminar Airflow Workstations and Bio-Safety Cabinets,Semiconductor FABs | Solar PV cell and modules manufacturing | Battery manufacturing,Dyna Filters Private Limited has in-house manufacturing facilities in India for cleanroom panels and equipment.,"Dyna Filters Private Limited specializes in providing turnkey cleanroom solutions, including the manufacturing of cleanroom panels, HEPA/ULPA filters, and various cleanroom equipment. Their expertise is critical for maintaining controlled environments in semiconductor fabrication facilities.",Cleanroom design and engineering | Air filtration technology,ok,0,gpt-4o
137,E3 TECH SYSTEMS AND SERVICES LLP,Equipment,Medium,Heating and cooling systems for process control | Customised automation for lab and glass reactors | Dynamic temperature control systems,Automotive | Advanced Packaging,,"E3 Tech Systems and Services LLP provides specialized equipment for temperature control and automation in semiconductor manufacturing processes. Their offerings include heating and cooling systems, circulating chillers, and dynamic temperature control systems, which are crucial for maintaining precise conditions in semiconductor fabrication and testing environments.",Temperature control systems | Process automation,ok,0,gpt-4o
138,Ebara Corporation,Equipment,High,Dry vacuum pumps | Chemical mechanical polishing (CMP) equipment | Point-of-use abatement systems,Logic | Memory | Advanced Packaging,,"Ebara Corporation, through its subsidiary Ebara Precision Machinery Company, provides advanced equipment solutions for semiconductor manufacturing, including vacuum pumps, CMP equipment, and abatement systems. Their products are designed to enhance manufacturing efficiency and meet environmental standards, serving critical processes such as etch and deposition.",Vacuum technology | Chemical mechanical polishing | Abatement systems,ok,0,gpt-4o
139,Ecolab,Facility & Infrastructure,Medium,Ultrapure water systems for microelectronics | Online monitoring of ultrapure water contaminants | High-purity pumps for semiconductor water treatment,Logic | Memory,,"Ecolab, through its Ovivo Ultra-Pure Water+ division, provides critical infrastructure solutions for semiconductor manufacturing, focusing on ultrapure water systems. Their offerings include advanced monitoring and treatment technologies to ensure water purity, essential for high-yield semiconductor production processes.",Ultrapure water purification | Real-time contaminant monitoring,ok,0,gpt-4o
140,EdgeCortix India Research Center Pvt Ltd,EDA/IP,High,Energy-efficient AI accelerators | Software-centric AI processor architecture,Automotive | Defense,"EdgeCortix India Research Center Pvt Ltd indicates a strategic presence in India, focusing on research and development for AI processors.","EdgeCortix India Research Center Pvt Ltd specializes in developing energy-efficient AI accelerators and processor architectures, with a focus on edge AI applications. Their solutions are designed to deliver high performance with low energy consumption, targeting sectors such as automotive and defense.",AI accelerator design | Software-centric hardware ecosystem,ok,0,gpt-4o
141,Edgetech Air Systems Pvt. Ltd.,Other,"None -- the company's primary focus is on HVAC solutions, not semiconductors",,,"Edgetech Air Systems Pvt. Ltd. is a leading manufacturer of air handling units and fan coil units in India, with a significant facility in Rohad, Haryana.","Edgetech Air Systems Pvt. Ltd. specializes in manufacturing air handling units and fan coil units, primarily serving the HVAC industry. Their focus is on delivering energy-efficient and environmentally sustainable air handling solutions.",,ok,0,gpt-4o
142,EDGETECH SCIENTIFIC PRIVATE LIMITED,Distribution,High,Lithography Solutions | Metrology & Characterization Tools | Advanced Packaging & Back-End Solutions,Advanced Packaging | Photovoltaic Production,"Edgetech Scientific Pvt. Ltd. is a well-organized sales, marketing, and distribution company in India with a comprehensive market coverage across major cities.","Edgetech Scientific Pvt. Ltd. is a premier distributor in India, specializing in advanced equipment and materials for the semiconductor and photovoltaic industries. They offer a wide range of solutions including lithography, metrology, and advanced packaging tools, supporting both front-end and back-end semiconductor manufacturing processes.",Photolithography | Nanoimprint Lithography | Molecular Beam Epitaxy,ok,0,gpt-4o
143,Edveon Technologies Private Limited,Design Services,High,RTL design | Functional Verification | FPGA emulation,Logic | Automotive,,"Edveon Technologies Private Limited specializes in ASIC design verification, providing expertise in RTL design, functional verification, and FPGA emulation. They play a critical role in ensuring chip designs meet high standards through comprehensive verification and validation services.",RTL design | Functional Verification | Post-silicon validation,ok,0,gpt-4o
144,Edwards India Pvt Ltd,Equipment,High,vacuum products | abatement solutions | value-added services for microelectronics,Logic | Memory | LEDs | Solar Cells,,"Edwards India Pvt Ltd is a key player in the semiconductor value chain, providing sophisticated vacuum and abatement systems essential for the manufacturing of microelectronics devices, including silicon and compound semiconductors. Their solutions are designed to enhance process uptime, yield, and throughput while minimizing environmental impact and operational costs.",vacuum technology | abatement systems | environmental emission reduction,ok,0,gpt-4o
145,EFY Enterprises Pvt Ltd,Other,,,,,,,ok,0,gpt-4o
146,Einnosys Technologies,Equipment,High,SECS/GEM integration | AI/ML-driven predictive maintenance | Smart Factory automation solutions,Fab/Foundry | OSAT/Packaging,"Einnosys is headquartered in Ahmedabad, India, and plays a significant role in supporting India's growing semiconductor ecosystem with advanced factory automation solutions.","Einnosys Technologies specializes in providing advanced factory automation solutions for the semiconductor industry, focusing on SECS/GEM integration, AI/ML-driven analytics, and smart factory solutions. Their offerings enable seamless equipment connectivity and compliance with SEMI standards, supporting fabs, OSATs, and equipment manufacturers in accelerating digital transformation and Industry 4.0 initiatives.",SECS/GEM communication protocols | AI/ML for predictive maintenance | Industry 4.0 integration,ok,0,gpt-4o
147,El Camino Technologies Pvt Ltd,OSAT/Packaging,High,Semiconductor packaging solutions | Prototype/process development | Manufacturing solutions,Power | Automotive | RF & Microwave,El Camino Technologies Pvt Ltd is based in India and provides local support and services for semiconductor and solar technologies.,"El Camino Technologies Pvt Ltd specializes in providing semiconductor packaging solutions and services, including prototype development and manufacturing support. They cater to various industries such as power, automotive, and RF & microwave, offering comprehensive project consultancy and management services.",Semiconductor packaging | Microelectronics | Optoelectronics,ok,0,gpt-4o
148,Ellipsiz DSS Pte Ltd,Distribution,High,wafer fabrication process equipment for lithography | board level test equipment for functional test | fab support services including turnkey facilities hook-up,Logic | Memory | Advanced Packaging,,"Ellipsiz DSS Pte Ltd is a distribution and service solutions provider specializing in semiconductor equipment and services across the Asia Pacific region. They offer a comprehensive range of products including wafer fabrication equipment, board level test equipment, and fab support services. Their focus is on enhancing and innovating customer solutions to meet core and peripheral needs in the semiconductor industry.",lithography process equipment | optical and X-Ray inspection technologies,ok,0,gpt-4o
149,Eltech Engineers Pvt Ltd,Equipment,Medium,atmospheric and vacuum plasma systems | high-concentration ozone generators | static eliminators and chargers,Advanced Packaging | Electronics,"All systems are designed and manufactured in India, supporting the nation’s vision of 'Make in India' for semiconductors.","Eltech Engineers Pvt Ltd specializes in manufacturing equipment for semiconductor surface treatment and static control. Their offerings include plasma systems for cleaning and adhesion, ozone generators for eco-friendly processing, and static control devices to ensure manufacturing safety. They are committed to innovation and sustainability, with all products made in India.",plasma treatment technology | ozone generation | static control technologies,ok,0,gpt-4o
150,"EO Technics Singapore Pte, Ltd.",Other,None,,,,,,ok,0,gpt-4o
151,Esmo Asia Pte. Ltd.,Equipment,High,Handlers and manipulators | Docking and interfacing solutions | Automated handling systems,Test & Measurement | OSAT/Packaging,"Esmo Asia Pte. Ltd. provides testing solutions for leading semiconductor players in India, including Infineon, TI, and TATA OSAT.","Esmo Asia Pte. Ltd. specializes in manufacturing semiconductor equipment, particularly handlers, manipulators, and docking/interfacing solutions. They serve major semiconductor companies worldwide, offering high-end, reliable test equipment developed and designed in Germany.",Test head manipulation | Docking and interfacing systems | Automation of handling systems,ok,0,gpt-4o
152,EV Group,Equipment,High,Wafer bonding equipment | Lithography/nanoimprint lithography equipment | Metrology equipment,Advanced Packaging | 3D Integration | MEMS | Compound Semiconductors | Power Devices,,"EV Group is a leading supplier of semiconductor manufacturing equipment, specializing in wafer bonding, lithography, and metrology solutions. Their products support advanced packaging, 3D integration, and MEMS applications, serving a global customer base with a strong focus on process expertise.",Wafer bonding | Nanoimprint lithography | Thin-wafer processing,ok,0,gpt-4o
153,Evatec AG,Equipment,High,Thin film deposition technology | BAK Evaporators for Power Device and MEMS | CLUSTERLINE® platforms for Advanced Packaging,Power | RF/5G | Advanced Packaging | Optoelectronics,,"Evatec AG is a leading provider of thin film deposition equipment, offering advanced production tools and processes for the semiconductor industry. Their solutions are integral to manufacturing next-generation devices across various applications, including power management, RF/5G, and advanced packaging. Evatec's technologies support innovations in smart wearables, 5G networks, and high-performance computing.",Thin film deposition | Sputtering systems | Ion-assisted deposition,ok,0,gpt-4o
154,Evident Scientific Private Limited,Test & Measurement,Medium,Confocal and multiphoton laser scanning microscopy | 3D optical profilometry | Digital microscopy and imaging systems,Materials Science | Life Science,,"Evident Scientific Private Limited specializes in advanced microscopy solutions, offering products like confocal laser scanning microscopes and 3D optical profilometers. These tools are crucial for precise measurement and imaging in semiconductor materials science and research applications.",Optical microscopy | Laser scanning microscopy | 3D surface metrology,ok,0,gpt-4o
155,Fabtech Technologies Cleanrooms Pvt Ltd,Facility & Infrastructure,Medium,Turnkey cleanroom engineering | Cleanroom HVAC systems | ISO 14644 compliant cleanroom validation,Semiconductors | Pharmaceuticals | Solar,"Fabtech Technologies Cleanrooms Pvt Ltd is headquartered in Mumbai and manufactures cleanroom solutions in Gujarat, Telangana, and Maharashtra.","Fabtech Technologies Cleanrooms Pvt Ltd provides turnkey cleanroom solutions, including design, build, and validation services, specifically tailored for semiconductor and other critical industries. Their expertise in cleanroom HVAC systems and compliance with ISO 14644 standards ensures high-quality environments for sensitive manufacturing processes.",Cleanroom design and validation | HVAC systems for controlled environments,ok,0,gpt-4o
156,FEC India Private Limited,Other,"None -- the company primarily focuses on industrial process pumps and fluid power products, which are not central to semiconductor manufacturing.",,,,"FEC India Private Limited specializes in industrial process pumps and fluid power products, offering solutions like air-operated double-diaphragm pumps and hydraulic accumulators. Their products are designed for a variety of industrial applications, focusing on efficiency and reliability.",,ok,0,gpt-4o
157,FELCON CLEAN ROOM TECHNOLOGY (INDIA) PRIVATE LIMITED,Facility & Infrastructure,Medium,Wet Processing Equipment | Modular Cleanroom Construction,Advanced Packaging,"Felcon India has a significant presence in India, with a history dating back to 1988 and a focus on the 'Make in India' initiative.","Felcon Clean Room Technology (India) Private Limited specializes in providing wet processing equipment and modular cleanroom construction solutions for the semiconductor industry. They focus on delivering high-quality and precise products to meet the needs of their clients, particularly in the context of India's growing semiconductor sector.",Wet Processing Technology | Cleanroom Design and Construction,ok,0,gpt-4o
158,Festo India Private Limited,Other,,,,,,,empty-input,0,gpt-4o
159,FILMTEC WATER SOLUTIONS INDIA PRIVATE LIMITED,Other,"Low -- the company's primary focus is on water purification and separation solutions, which are not central to semiconductor manufacturing",,,,"FilmTec Water Solutions India Private Limited, part of DuPont Water Solutions, specializes in water purification and separation technologies. While their products are crucial for various industries, their direct involvement in the semiconductor value chain is minimal.",,ok,0,gpt-4o
160,FIXOTEC PIPE SUPPORTS PRIVATE LIMITED,Facility & Infrastructure,"Low -- The company focuses on installation and support systems, which are not central to semiconductor manufacturing",Installation systems | HVAC systems | Pipe support systems,Industries,,"Fixotec Pipe Supports Private Limited provides German-engineered installation, HVAC, and support systems, primarily serving the building and industrial sectors. Their offerings include watertight and vibration-free installations, which may indirectly support semiconductor facilities.",,ok,0,gpt-4o
161,Flowell Corporation,Equipment,High,Fluorocarbon resin tube fittings | Compact fluid components for semiconductor manufacturing equipment,Semiconductor Manufacturing Equipment,"Flowell Corporation is participating in SEMICON India 2026, indicating a strategic interest in the Indian semiconductor market.","Flowell Corporation develops and manufactures compact fluid components, specializing in fluorocarbon resin tube fittings for semiconductor manufacturing equipment. Their products are crucial for handling chemical solutions used in semiconductor fabrication processes.",Fluororesin technology | Fluid control components,ok,0,gpt-4o
162,Fluor,Facility & Infrastructure,Medium,"Engineering, Procurement, and Construction Management (EPCM) for semiconductor fabs | Cleanroom design and renovation",Advanced Semiconductor Manufacturing Facilities,"Fluor has over 1,700 employees in India, indicating a significant presence in the region.","Fluor is a global engineering, procurement, and construction company that provides comprehensive EPCM services for semiconductor manufacturing facilities. They have a strong track record in managing complex projects, including cleanroom design and renovations, which are critical for advanced semiconductor manufacturing.",Cleanroom engineering | Project management for semiconductor fabs,ok,0,gpt-4o
163,Fluro Engineering Pvt Ltd,Distribution,Low,Linear Motion | Power Transmission | Control Technology,Automotive | Industrial Automation,Fluro Engineering Pvt. Ltd. has a strong network of 15+ distributors across India.,"Fluro Engineering Pvt. Ltd. specializes in automation solutions, focusing on linear motion, power transmission, and control technology. They distribute products from globally renowned brands, serving various industries including automotive and industrial automation.",Linear Motion Technology | Power Transmission Systems | Control Technology,ok,0,gpt-4o
164,Forbes Marshall Pvt Ltd,Other,,,,,,,empty-input,0,gpt-4o
165,FS COMPRESSORS INDIA PVT LTD,Other,"None -- the company primarily focuses on industrial air compressors, which are not central to semiconductor manufacturing",,,"FS-Curtis India is the local center for FS-Elliott & FS-Curtis compressors, indicating a significant presence in India.","FS Compressors India Pvt Ltd, under the FS-Curtis brand, specializes in manufacturing industrial air compressors. While they are renowned for their robust and reliable compressors, their offerings are not directly aligned with semiconductor manufacturing processes.",,ok,0,gpt-4o
